Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Haiti,4.1094227,4.158253,4.4952383,3.4019947,2.910589,4.5574236,5.295176,6.411761,6.299905,6.8204303,6.989819,7.604301,8.329151,7.705837,8.873864,9.256048,9.474688,10.21842,10.295057,9.786872,9.076634,9.542193,10.491044,11.038771,11.895988
Honduras,17.285564,17.263231,17.815287,17.766825,17.75552,19.19583,21.474396,22.050585,23.661303,25.352324,24.346216,26.576199,26.845087,29.437044,31.275608,32.102013,30.896307,38.258102,37.8983,35.912487,37.517864,37.99666,41.388077,41.480186,45.447643
Hungary,323.25543,301.9012,289.65198,278.8413,283.5847,286.80054,292.24866,285.1972,289.47705,289.33777,280.80228,287.6443,280.91214,284.3871,288.92676,308.07724,302.06055,298.0855,293.89648,272.6884,277.82706,269.46396,251.11597,238.0414,238.26877
Iceland,21.688086,21.18768,21.934168,22.785404,23.039999,23.782099,25.167961,26.403275,28.570063,31.300348,33.229614,33.59983,34.91136,35.086388,35.7808,35.90419,39.38225,45.020454,56.450768,56.355034,56.386024,56.377453,56.89812,58.71669,58.62973
India,2300.7012,2427.6628,2552.772,2616.248,2757.121,2963.118,3081.6313,3252.0098,3449.4966,3549.4888,3728.5142,3743.8525,3865.751,4004.0781,4347.5815,4603.61,4849.72,5263.1113,5570.697,5986.512,6244.9697,6586.134,6942.567,7172.9463,7656.9136
Indonesia,600.1789,652.9384,716.8603,763.84265,799.6467,870.28394,933.1465,1012.6952,995.5688,1086.9856,1163.5768,1246.3197,1280.0542,1388.6608,1375.4415,1415.4885,1439.7615,1545.1866,1563.0292,1605.616,1737.839,1835.9167,1895.301,1829.9647,1853.9653
Iran,811.283,880.22864,973.4238,900.7482,1008.74506,1057.9441,1150.8833,1186.134,1235.5066,1331.5682,1396.5679,1492.1416,1626.3677,1656.1945,1831.958,1940.2998,2120.2705,2253.9915,2323.3672,2379.2898,2421.595,2529.5142,2558.024,2647.9172,2756.6716
Iraq,237.72375,150.03163,238.08551,316.3496,358.0795,356.73123,357.1321,423.3329,317.77405,229.28128,322.66235,360.44513,342.5957,304.07303,326.04388,308.3225,299.682,302.1791,345.91293,339.51334,380.42465,391.37015,427.02396,474.09854,471.44806
Ireland,117.88633,122.46164,123.018745,125.62607,130.93552,133.62074,141.03665,145.73021,156.80545,165.53717,173.34885,183.16753,181.35396,176.85468,180.36188,188.174,194.29442,197.32437,196.37903,176.61156,178.30043,170.26166,167.46858,164.99734,164.55302
Israel,129.13806,131.27994,153.19855,166.36833,173.57077,195.21046,202.2982,221.2145,232.79457,241.27261,227.37195,227.2133,231.78326,238.83667,243.58925,244.78761,246.15257,255.31548,262.74496,255.30803,265.50854,270.47958,282.93994,267.764,261.28497
Italy,1854.8859,1913.1323,1905.3289,1865.0537,1860.836,1936.397,1935.798,1969.2843,2014.5813,2071.3826,2099.2852,2097.5369,2083.352,2149.7844,2197.5198,2200.2498,2190.0674,2148.2993,2111.905,1971.7054,2036.7327,1997.9124,1943.8773,1858.6002,1762.3202
Jamaica,29.885424,31.193974,33.741344,34.250633,35.31796,39.372444,40.577766,42.375107,43.328506,44.37129,43.211422,43.843773,43.64882,45.48951,44.501144,45.886753,52.419537,53.39062,45.405308,35.698082,32.796238,34.7455,32.558598,35.42048,34.90134
Japan,5218.65,5336.243,5391.9395,5473.17,5677.9824,5968.173,6083.4697,6200.573,6076.8003,6176.304,6242.476,6183.3726,6192.4404,6170.2114,6241.5093,6263.036,6248.704,6181.806,6073.238,5541.6133,5907.574,5595.5786,5552.538,5512.0854,5372.656
Jordan,42.15597,39.965927,47.103443,46.597828,53.54953,56.13172,60.325836,58.302948,62.35446,62.998188,66.33986,63.718197,66.82519,72.97168,79.27677,86.07135,88.99387,85.58677,82.44918,85.74355,89.245705,93.45376,99.16974,98.46778,101.033775
Kazakhstan,859.42535,858.5374,847.4754,748.1536,666.42114,598.716,521.20215,459.57828,433.00293,406.96085,369.74738,416.19168,423.94363,464.69073,493.8026,507.509,546.16174,605.14886,638.1466,572.664,614.3876,697.2462,733.1697,736.4636,773.14575
Kenya,35.934166,33.323612,36.085022,37.22522,38.042973,40.418476,42.28962,39.313633,43.320107,41.10868,45.629185,46.44051,46.868996,44.622013,48.01649,52.13451,57.201344,57.552902,56.80351,62.04586,67.37207,69.644844,68.869995,72.58364,75.852745
Kosovo,0,1.358101222,2.716202444,4.074303667,5.432404889,6.790506111,8.148607333,9.506708556,10.86480978,12.222911,13.58101222,14.93911344,16.29721467,17.65531589,19.01341711,20.37151833,21.72961956,23.08772078,24.445822,27.49982,27.258837,27.410341,27.27203,26.094912,24.175629
Kuwait,91.492676,46.120697,81.67526,100.172905,116.9345,150.54976,149.0201,155.05125,190.98369,198.2651,211.94313,214.30533,226.82956,271.0907,302.8387,334.09308,321.13065,311.9603,337.47018,349.38324,392.96445,403.56592,414.8776,424.64246,431.84927
Kyrgyzstan,0,41.36885,82.7377,72.46727,64.11,54.607563,67.99491,64.12022,64.35059,69.22621,69.96627,66.38814,56.687428,59.905827,61.143585,57.57032,58.66886,64.38594,61.473503,62.066814,59.42368,67.648445,76.52915,71.8661,73.127846
Latvia,86.466255,79.67954,57.034683,49.155556,47.623062,44.568214,41.465206,41.772293,45.462013,38.594276,37.75418,40.664444,41.022438,40.518818,45.555637,46.957714,44.543407,45.92616,46.242855,43.82077,49.669945,44.33605,45.962738,44.236668,40.747486
Lebanon,20.880962,34.384384,35.185112,44.14319,49.708504,53.374496,56.604107,64.81231,65.40066,67.03975,60.606056,64.49337,65.00091,65.76613,65.4509,62.575287,58.00841,51.343483,66.28692,81.97172,79.19253,79.97874,89.54121,89.2734,91.99911
Libya,148.89038,155.43633,145.05078,150.26828,155.35968,162.21968,171.44562,180.53589,173.74141,156.8417,212.94627,214.66046,221.28317,218.0163,223.34734,230.98123,211.7974,210.39842,218.43176,249.98701,263.62225,173.02005,215.58334,231.87094,226.45312
Lithuania,201.90991,213.4511,130.76642,102.26923,88.25322,98.637634,107.354294,98.98895,106.15751,87.81855,78.03437,91.26609,97.401474,102.13443,102.862885,93.84335,89.61744,98.10395,97.13305,90.03387,65.75721,68.49784,68.60062,63.405746,61.163307
Luxembourg,37.151257,39.928738,40.04283,40.56885,39.01029,33.9346,34.89928,34.15858,32.987743,34.85965,37.2042,39.86669,43.58215,45.7039,51.779778,52.552967,51.62664,50.125652,49.76075,47.592953,50.115738,48.821117,47.95294,45.692364,44.27421
Malaysia,240.98552,301.86606,340.55438,342.51465,363.73718,397.95117,444.2731,515.45135,495.44113,529.4285,611.2572,625.815,659.1749,714.1565,771.64,835.0786,843.83295,900.0566,932.6227,903.04865,932.97424,949.2023,1038.4077,1086.7378,1097.6155
Mexico,1319.0715,1357.6798,1384.1091,1385.3857,1464.6439,1439.3374,1476.8876,1512.6992,1574.1715,1597.0651,1693.2755,1679.5934,1720.0585,1740.948,1843.0907,2019.614,2049.1768,2068.4585,2153.5232,2117.228,2123.579,2219.981,2239.8518,2241.2712,2227.5078
Moldova,0,31.1346435,62.269287,46.39288,32.44635,33.19198,37.952263,41.74149,38.828094,31.7112,32.95022,32.234013,35.49836,39.423717,36.805885,40.29086,42.639015,37.103584,38.32428,34.536533,34.161934,33.10092,45.2682,44.53569,42.5979
Mongolia,57.10106,59.253883,52.940266,48.582287,45.290226,43.172115,44.44818,40.613544,41.31398,41.5597,43.361916,43.276108,46.15494,43.81501,43.01109,44.602825,48.04128,50.427555,49.831665,50.456715,49.192204,51.20017,55.022125,58.388344,57.184326
