Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
El Salvador,6.224686892,5.940330435,6.229036736,6.410248348,6.471573216,6.508016577,6.991033329,6.62740376,6.688111259,6.679810149,6.601107994,6.504510142,6.583187291,6.523829518,6.814613725,7.015028009,7.180400008,7.938989698,8.266236566,8.707337602,8.914862456,9.358070603,9.659686512,10.80467378,11.19835502
Eq. Guinea,0.0,1.6319995178571427,3.2639990357142854,4.895998553571428,6.527998071428571,8.159997589285714,9.791997107142857,11.423996625,13.055996142857142,14.687995660714284,16.31999517857143,17.95199469642857,19.583994214285713,21.215993732142856,22.84799325,16.78086152,15.47394132,15.65194937,15.65194937,15.65194937,15.65194937,15.65194937,15.65194937,15.65194937,15.65194937
Eritrea,0.0,1.3225240055,2.645048011,2.926153846,3.512206617,3.512312919,3.722785334,4.112433092,6.510453165,6.37052649,6.251144652,6.630645018,6.875875787,6.366247316,7.149134928,7.379129265,8.264127026,8.334080499,8.147498131,7.96839672,8.026837443,8.685361509,8.685361509,8.685361509,8.685361509
Estonia,0.0,0.5307181133333333,1.0614362266666666,1.59215434,1.584756036,1.78247562,1.699347649,1.986156508,2.283592679,2.431457685,2.796461708,2.915784309,3.416602692,3.455212182,3.729740961,4.322208439,5.115185506,5.223959435,5.560966456,5.649131871,5.16558853,5.847702309,6.274106389,5.978999904,6.344031702
Eswatini,9.370860064,9.7313,10.0918,10.4522,10.8127,11.1732,11.5336,11.8941,12.2546,12.615,12.9755,13.3359,13.6964,14.0569,14.41732341,16.03467765,17.20792749,17.71227244,17.71227244,17.71227244,17.71227244,17.71227244,17.71227244,17.71227244,17.71227244
Ethiopia,0.866613344,0.804395814,0.73350131,0.815456638,0.827325945,0.864425166,0.9570294,0.976089968,0.924608114,0.959459661,1.009177073,1.076421768,1.078001997,1.041169164,1.17905178,1.326673295,1.470402504,1.631710227,1.788794713,1.90787909,2.11289139,2.319789437,2.486467368,2.612052687,3.070196415
Fiji,10.70880954,10.561,10.4133,10.2655,10.1177,9.97,9.8222,9.6744,9.5267,9.3789,9.2311,9.0834,8.9356,8.7878,8.640069434,10.33748039,11.21631133,12.18239972,12.18239972,12.18239972,12.18239972,12.18239972,12.18239972,12.18239972,12.18239972
Finland,3.18587817,3.054521576,3.205386021,3.10661542,3.08825057,3.453071339,3.303330148,3.470976546,3.730855476,3.941350285,4.278813698,4.337731251,4.25128576,4.100560124,4.369178427,4.884438437,4.83890113,5.419297077,6.010294706,6.063655661,5.708561704,6.258658398,6.512840505,6.784107204,6.720585513
France,4.580431373,4.527284297,4.786658475,4.790186079,5.204874847,5.209171828,5.086097842,5.491473091,5.626470975,5.894833011,6.311337999,6.47710361,6.750467863,6.589147247,6.749395249,7.113939694,7.741849777,8.28226047,8.537776821,8.869763846,8.944054169,9.732240918,9.820822083,10.3100305,10.97104773
Gabon,9.962283921,10.58342294,9.813478368,9.86950249,11.79407786,11.5268632,11.6811495,12.41129491,12.20942328,11.58781956,11.57032749,11.25011051,9.443389958,8.365663619,7.453483225,6.830967125,6.08115306,5.943253694,5.330884135,4.916482061,4.741674115,6.437753004,7.419348832,5.193086016,5.704792977
Gambia,24.07958299,24.4804,24.8813,25.2822,25.683,26.0839,26.4847,26.8856,27.2864,27.6873,28.0881,28.489,28.8899,29.2907,29.69156499,29.89642431,29.01791933,26.31791267,26.31791267,26.31791267,26.31791267,26.31791267,26.31791267,26.31791267,26.31791267
Georgia,2.216760707,2.232666588,1.46094099,1.204073308,1.788480676,2.355915854,2.652973723,3.398458897,3.832966578,4.36913771,4.411566689,5.274159893,5.709645651,6.073601676,6.420027274,7.101523893,7.501281264,7.867661058,9.135426635,8.60841559,9.173642503,8.860528044,9.392407255,9.667799463,9.309514419
Germany,4.394007607,4.870492944,5.17362683,5.296273027,5.565671775,5.709519586,5.659988062,5.843996732,6.06722743,6.444029561,6.646024936,6.741575676,7.102187772,7.314351765,7.608766174,7.780269057,8.114607808,9.094702414,9.364372569,9.722007886,9.751806155,10.99316571,11.18395544,11.42113342,12.43868891
Ghana,3.45488278,3.63395347,3.72780087,3.818656161,3.871910519,3.932109912,4.048554224,4.106226433,4.113313868,4.194469486,5.441554479,5.746471735,6.137126259,6.950108913,7.541328946,8.30776698,8.548186026,9.158624875,10.19043427,9.940222951,9.948845806,10.85149592,11.51168893,15.64596237,16.4438272
Greece,6.319207121,6.680653022,6.715292216,6.850590158,6.943451332,7.174346538,7.3074561,7.514946621,7.546034683,7.725561471,7.78871883,8.131434049,8.705976535,8.952155707,9.381408727,9.29060966,10.39685498,10.71020858,11.23878541,11.46876985,11.34900899,10.8570995,10.52103174,12.26397606,12.63641503
Guatemala,6.931396377,7.223879272,7.343983948,7.83914752,7.904274012,7.998686969,8.158878528,8.277922377,8.082086327,7.750952146,7.970785369,8.164504434,8.545162617,8.584732841,8.829838492,9.351371271,9.996367879,10.1558475,11.15758833,9.846142971,9.411316999,9.359964795,9.787627179,9.429444753,9.078216462
Guinea-Bissau,13.23266794,13.5025,13.7724,14.0422,14.3121,14.5819,14.8518,15.1216,15.3915,15.6613,15.9312,16.201,16.4709,16.7407,17.0105992,18.07854767,18.42058179,18.50457921,18.50457921,18.50457921,18.50457921,18.50457921,18.50457921,18.50457921,18.50457921
Guyana,4.142641567,4.3759,4.6093,4.8426,5.0759,5.3092,5.5425,5.7758,6.0091,6.2424,6.4757,6.709,6.9423,7.1756,7.40890242,7.24851679,7.772434945,8.541477468,8.541477468,8.541477468,8.541477468,8.541477468,8.541477468,8.541477468,8.541477468
Haiti,6.234555574,6.57538289,6.132347756,6.143851558,6.015048673,5.725623795,5.289637914,5.244735512,5.415458511,5.568406049,5.932312191,5.871609639,5.291925419,5.632300681,5.409950924,3.814438446,3.902517097,3.952411035,4.011672427,4.10741889,4.003680234,4.16676192,4.003482613,4.266672997,4.36624092
